AB,NG,Abia
AD,NG,Adamawa
AK,NG,Akwa Ibom
AN,NG,Anambra
BA,NG,Bauchi
BY,NG,Bayelsa
BN,NG,Benue
BO,NG,Borno
CR,NG,Cross River
DT,NG,Delta
EB,NG,Ebonyi
ED,NG,Edo
EK,NG,Ekiti
EN,NG,Enugu
FC,NG,Federal Capital Teritorry
GM,NG,Gombe
IM,NG,Imo
JG,NG,Jigawa
KD,NG,Kaduna
KN,NG,Kano
KT,NG,Katsina
KB,NG,Kebbi
KG,NG,Kogi
KW,NG,Kwara
LA,NG,Lagos
NS,NG,Nasarawa
NG,NG,Niger
OG,NG,Ogun
OD,NG,Ondo
OS,NG,Osun
OY,NG,Oyo
PL,NG,Plateau
RV,NG,Rivers
SO,NG,Sokoto
TR,NG,Taraba
YB,NG,Yobe
ZM,NG,Zamfara
